"Tipo de Información","Tipo de Tarifa","Tipo de Dato","Rango de Consumo","Nivel","Propiedad Epm","Compartido","Propiedad del Cliente","Punta","Fuera de Punta","Año","Mes"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$474,47","$456,82","$439,17","$0,00","$0,00","2018","Febrero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$473,08","$455,67","$438,25","$0,00","$0,00","2017","Agosto"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$455,88","$438,47","$421,07","$0,00","$0,00","2017","Febrero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$477,51","$460,15","$442,78","$0,00","$0,00","2017","Marzo"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$472,40","$454,92","$437,45","$0,00","$0,00","2017","Noviembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$554,71","$533,77","$512,84","$0,00","$0,00","2017","Septiembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$566,87","$545,91","$524,94","$0,00","$0,00","2017","Noviembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$590,36","$569,13","$547,90","$0,00","$0,00","2018","Marzo"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$556,06","$535,16","$514,25","$0,00","$0,00","2017","Abril"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$485,73","$468,02","$450,32","$0,00","$0,00","2018","Abril"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$569,37","$548,19","$527,01","$0,00","$0,00","2018","Febrero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$467,58","$449,91","$432,25","$0,00","$0,00","2018","Enero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$491,96","$474,27","$456,58","$0,00","$0,00","2018","Marzo"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$536,59","$515,78","$494,97","$0,00","$0,00","2017","Enero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$462,25","$444,81","$427,37","$0,00","$0,00","2017","Septiembre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$469,42","$451,99","$434,57","$0,00","$0,00","2017","Octubre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$573,02","$552,18","$531,34","$0,00","$0,00","2017","Marzo"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$582,88","$561,63","$540,38","$0,00","$0,00","2018","Abril"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$536,44","$515,63","$494,82","$0,00","$0,00","2017","Junio"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$447,03","$429,69","$412,35","$0,00","$0,00","2017","Junio"
