"Municipio","Sector","Estrato","Servicio","Cargo Fijo","Cargo por Consumo Menor","Cargo por Consumo Mayor","Cargo por Consumo","Suspensión","Reinstalación","Reconexión","Corte","Año","Mes"
"Caldas","Residencial","6","Alcantarillado","$6.485,07","$2.536,07","$2.536,07","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Comercial","Comercial","Acueducto","$10.571,09","$0,00","$0,00","$5.378,97","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Comercial","Comercial","Alcantarillado","$6.079,76","$0,00","$0,00","$3.892,71","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Industrial","Industrial","Acueducto","$9.161,61","$0,00","$0,00","$5.378,97","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Industrial","Industrial","Alcantarillado","$5.269,12","$0,00","$0,00","$3.373,68","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$3.234,50","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.053,17","$0,00","$0,00","$2.595,14","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","1","Acueducto","$3.523,70","$1.617,25","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","1","Alcantarillado","$2.026,59","$1.297,57","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","2","Acueducto","$4.369,38","$2.005,39","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","2","Alcantarillado","$2.431,90","$1.557,08","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","3","Acueducto","$7.047,39","$3.234,50","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","3","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","4","Acueducto","$7.047,39","$3.234,50","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","4","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","5","Acueducto","$11.487,25","$5.272,24","$5.272,24","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","5","Alcantarillado","$6.079,76","$3.892,71","$3.892,71","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","6","Acueducto","$13.601,46","$6.242,59","$6.242,59","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Copacabana","Residencial","6","Alcantarillado","$7.174,11","$4.593,40","$4.593,40","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Comercial","Comercial","Acueducto","$10.571,09","$0,00","$0,00","$4.851,75","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Comercial","Comercial","Alcantarillado","$6.079,76","$0,00","$0,00","$3.892,71","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Industrial","Industrial","Acueducto","$9.161,61","$0,00","$0,00","$4.204,85","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Industrial","Industrial","Alcantarillado","$5.269,12","$0,00","$0,00","$3.373,68","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$3.234,50","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.053,17","$0,00","$0,00","$2.595,14","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","1","Acueducto","$2.114,22","$970,35","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","1","Alcantarillado","$1.215,95","$778,54","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","2","Acueducto","$4.228,43","$1.940,70","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","2","Alcantarillado","$2.431,90","$1.557,08","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","3","Acueducto","$6.695,20","$3.072,78","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","3","Alcantarillado","$3.850,51","$2.465,38","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","4","Acueducto","$7.047,39","$3.234,50","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","4","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","5","Acueducto","$11.428,19","$5.336,93","$5.336,93","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","5","Alcantarillado","$6.485,07","$4.152,22","$4.152,22","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","6","Acueducto","$12.332,93","$5.660,38","$5.660,38","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Envigado","Residencial","6","Alcantarillado","$6.485,07","$4.411,74","$4.411,74","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Comercial","Comercial","Acueducto","$10.571,09","$0,00","$0,00","$4.851,75","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Comercial","Comercial","Alcantarillado","$6.079,76","$0,00","$0,00","$3.892,71","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Industrial","Industrial","Acueducto","$9.161,61","$0,00","$0,00","$4.204,85","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Industrial","Industrial","Alcantarillado","$5.269,12","$0,00","$0,00","$3.373,68","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$3.234,50","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.053,17","$0,00","$0,00","$2.595,14","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","1","Acueducto","$2.114,22","$970,35","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","1","Alcantarillado","$1.215,95","$778,54","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","2","Acueducto","$4.228,43","$1.940,70","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","2","Alcantarillado","$2.431,90","$1.557,08","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","3","Acueducto","$5.990,28","$2.749,33","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","3","Alcantarillado","$3.445,19","$2.205,87","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","4","Acueducto","$7.047,39","$3.234,50","$3.234,50","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","4","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","5","Acueducto","$10.571,09","$4.851,75","$4.851,75","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Girardota","Residencial","5","Alcantarillado","$6.079,76","$3.892,71","$3.892,71","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
